taxid	string_name	new_taxid	ncbi_name	root
9978	Ochotona princeps	9978	Ochotona princeps	12
9986	Oryctolagus cuniculus	9986	Oryctolagus cuniculus	12
10029	Cricetulus griseus	10029	Cricetulus griseus	12
10036	Mesocricetus auratus	10036	Mesocricetus auratus	12
10042	Peromyscus maniculatus	10042	Peromyscus maniculatus	12
10090	Mus musculus	10090	Mus musculus	12
10116	Rattus norvegicus	10116	Rattus norvegicus	12
10141	Cavia porcellus	10141	Cavia porcellus	12
10160	Octodon degus	10160	Octodon degus	12
10181	Heterocephalus glaber	10181	Heterocephalus glaber	12
10224	Saccoglossus kowalevskii	10224	Saccoglossus kowalevskii	23
10228	Trichoplax adhaerens	10228	Trichoplax adhaerens	27
12957	Atta cephalotes	12957	Atta cephalotes	24
13037	Danaus plexippus	13037	Danaus plexippus	24
13249	Rhodnius prolixus	13249	Rhodnius prolixus	24
13333	Amborella trichopoda	13333	Amborella trichopoda	33
13349	Arthrobotrys oligospora	13349	Arthrobotrys oligospora	31
13616	Monodelphis domestica	13616	Monodelphis domestica	15
13684	Parastagonospora nodorum	13684	Parastagonospora nodorum	31
13735	Pelodiscus sinensis	13735	Pelodiscus sinensis	17
15368	Brachypodium distachyon	15368	Brachypodium distachyon	33
27288	Naumovozyma castellii	27288	Naumovozyma castellii	31
27289	Naumovozyma dairenensis	27289	Naumovozyma dairenensis	31
27337	Verticillium dahliae	27337	Verticillium dahliae	31
27679	Saimiri boliviensis	27679	Saimiri boliviensis	7
27923	Mnemiopsis leidyi	27923	Mnemiopsis leidyi	29
28377	Anolis carolinensis	28377	Anolis carolinensis	17
28532	Tarenaya hassleriana	28532	Tarenaya hassleriana	33
28564	Talaromyces stipitatus	28564	Talaromyces stipitatus	31
28583	Allomyces macrogynus	28583	Allomyces macrogynus	31
28737	Elephantulus edwardii	28737	Elephantulus edwardii	14
28985	Kluyveromyces lactis	28985	Kluyveromyces lactis	31
29073	Ursus maritimus	29073	Ursus maritimus	13
29078	Eptesicus fuscus	29078	Eptesicus fuscus	13
29176	Neospora caninum	29176	Neospora caninum	36
29730	Gossypium raimondii	29730	Gossypium raimondii	33
29760	Vitis vinifera	29760	Vitis vinifera	33
29850	Gaeumannomyces graminis	29850	Gaeumannomyces graminis	31
29875	Trichoderma virens	29875	Trichoderma virens	31
29908	Sporothrix schenckii	29908	Sporothrix schenckii	31
30611	Otolemur garnettii	30611	Otolemur garnettii	9
31033	Takifugu rubripes	31033	Takifugu rubripes	20
31234	Caenorhabditis remanei	31234	Caenorhabditis remanei	24
31870	Colletotrichum graminicola	31870	Colletotrichum graminicola	31
32264	Tetranychus urticae	32264	Tetranychus urticae	24
32507	Neolamprologus brichardi	32507	Neolamprologus brichardi	20
33169	Eremothecium gossypii	33169	Eremothecium gossypii	31
33178	Aspergillus terreus	33178	Aspergillus terreus	31
33188	Uncinocarpus reesii	33188	Uncinocarpus reesii	31
34349	Mixia osmundae	34349	Mixia osmundae	31
34373	Blumeria graminis	34373	Blumeria graminis	31
34506	Strongyloides ratti	34506	Strongyloides ratti	24
34740	Heliconius melpomene	34740	Heliconius melpomene	24
34839	Chinchilla lanigera	34839	Chinchilla lanigera	12
35128	Thalassiosira pseudonana	35128	Thalassiosira pseudonana	36
